"","SRR29185159","SRR29185160","SRR29185161","SRR29185162"
"FBgn0039428",2,7,52,4
"FBgn0262362",2,2,0,2
"FBgn0042111",2355,2773,2642,2709
"FBgn0262527",4163,5977,5830,5744
"FBgn0037731",4,6,12,9
"FBgn0261108",636,871,1044,1052
"FBgn0053783",0,0,0,0
"FBgn0039152",120,118,57,66
"RR48394_transposable_element",1,2,0,3
"FBgn0053107",253,323,393,355
"FBgn0051053",17,19,11,26
"FBgn0015520",1493,1942,1610,1789
"FBtr0309594_df_nrg",0,0,0,0
"FBgn0039790",2469,2788,2957,2813
"FBgn0039671",1,0,3,102
"FBgn0028690",7515,8186,6877,7234
"FBgn0037222",25,16,9,15
"FBgn0286852",1501,1663,803,802
"FBgn0037934",1,0,13,6
"FBti0019323",0,0,0,0
"FBgn0037897",1047,1314,989,1003
"FBgn0038373",12,18,11,16
"FBgn0045761",214,376,360,344
"FBgn0038739",1263,1347,1729,1794
"FBgn0266565",0,0,0,0
"FBgn0039727",1272,1720,1436,1398
"FBgn0039537",2294,2357,2292,2154
"FBgn0010044",0,0,0,0
"FBgn0038465",541,509,2119,1114
"FBgn0038126",103,202,84,122
"FBgn0264838",0,3,0,2
"FBti0062097",0,0,0,0
"FBgn0038576",1180,1369,1378,1266
"FBgn0038621",15,30,28,23
"FBgn0040077",0,0,0,0
"FBti0061077",3,11,3,1
"FBgn0039744",0,2,2,0
"FBgn0086056",0,0,0,0
"FBgn0011919",1,0,4,0
"FBgn0038586",535,562,499,472
"FBgn0038602",0,0,0,0
"FBgn0037519",260,311,293,287
"FBti0063829",0,0,0,0
"FBgn0038509",0,3,0,0
"FBgn0039470",0,0,0,0
"FBgn0038386",1,0,0,1
"FBgn0004171",8,2,0,0
"FBgn0042103",0,0,0,1
"FBgn0051093",0,0,0,0
"FBgn0267938",0,0,0,0
"FBgn0262717",331,548,300,500
"FBgn0026056",1131,1250,1537,1331
"FBgn0038768",2257,2646,2365,2437
"FBgn0082962",2,4,6,3
"FBgn0085337",6,1,4,3
"FBgn0037534",41,91,223,250
"FBgn0045035",1284,1585,2123,1771
"FBgn0028400",4009,5764,6092,4761
"FBgn0062412",3,4,9,7
"FBgn0038097",0,0,0,0
"FBti0020388",0,0,0,0
"FBgn0039466",1233,1797,1895,1775
"FBgn0038850",3,8,2,3
"FBgn0051463",0,1,0,0
"FBgn0051343",0,0,0,0
"FBgn0039406",9256,9326,7184,7001
"FBgn0037715",218,250,614,420
"FBgn0039024",206,233,452,289
"FBgn0039684",0,1,4,2
"FBgn0038214",1,0,1,1
"FBgn0037592",725,867,886,873
"FBgn0038363",407,376,375,373
"FBgn0287588",0,0,0,0
"FBgn0038421",214,199,203,222
"FBgn0011960",0,0,0,0
"FBti0019406",0,0,1,0
"FBgn0004174",2,0,0,0
"FBgn0046878",0,2,2,1
"FBgn0038926",1038,1402,1267,1087
"FBti0062142",0,0,0,0
"FBgn0038012",0,0,1,1
"FBti0059784",0,1,0,0
"FBgn0051145",358,548,832,626
"FBgn0039481",1,43,2,3
"FBgn0028692",11052,12018,10704,10360
"FBgn0037818",2,4,34,14
"FBgn0013972",2574,2698,4532,2810
"FBgn0039810",0,0,1,2
"FBgn0051245",1,1,0,0
"FBgn0264490",645,1162,84,323
"FBgn0038504",1593,2050,2716,2382
"FBgn0038869",797,917,1092,1028
"FBgn0037579",6,2,8,2
"FBtr0304177_df_nrg",0,0,0,0
"FBgn0267765",0,0,0,0
"FBgn0086053",0,0,0,0
"FBgn0043799",145,201,240,183
"FBgn0037374",852,940,1515,1378
"FBgn0267779",0,0,3,0
"FBgn0267147",0,0,0,0
"FBgn0027053",3560,3971,2716,2823
"FBgn0046332",4,1,0,0
"FBgn0039198",3,5,1,2
"FBgn0266400",0,0,0,0
"FBgn0038610",884,1036,601,728
"FBgn0263452",0,0,0,1
"FBgn0001255",354,546,26,103
"FBgn0038649",395,452,648,539
"FBgn0267802",0,0,0,0
"FBgn0000277",0,0,0,0
"FBti0059755",0,0,1,1
"FBgn0038405",11,29,14,21
"FBti0019319",0,0,0,0
"FBti0019332",0,0,0,0
"FBgn0037846",350,336,733,534
"FBgn0037364",139,182,206,265
"FBgn0011224",3609,4710,6754,6020
"FBgn0266917",3440,4242,3629,3920
"FBgn0037921",161,199,192,204
"FBgn0038820",0,1,1,1
"FBgn0266246",0,0,0,0
"FBgn0264706",15,14,10,16
"FBgn0051164",0,0,0,0
"FBgn0037396",0,0,1,0
"FBgn0261838",0,0,0,0
"FBgn0015576",56,46,158,96
"FBgn0264836",0,0,0,0
"FBgn0038395",69,117,144,157
"FBgn0264987",0,5,5,7
"FBgn0037481",440,469,437,413
"FBgn0038244",2552,3077,3515,3067
"FBgn0264787",0,0,3,1
"FBgn0038440",0,0,0,0
"FBgn0051496",0,1,20,1
"FBgn0038311",57,55,29,48
"FBgn0020280",0,0,3,0
"FBgn0038147",196,172,474,264
"FBgn0026239",4517,5818,5580,5330
"FBgn0039370",0,0,0,0
"FBgn0039004",2824,3313,3148,3042
"FBgn0039260",2505,2895,3041,2775
"FBgn0004575",2209,3098,6180,3893
"FBgn0037475",780,893,892,718
"FBgn0039194",0,2,1,1
"FBtr0304231_df_nrg",0,0,0,0
"FBgn0037911",248,247,289,235
"FBgn0086355",11413,11080,26683,18033
"FBgn0261262",931,1294,3471,1743
"FBgn0014861",4335,4936,4409,4406
"FBgn0051533",1,0,3,2
"FBgn0015396",3970,5151,4888,5584
"FBgn0027950",2347,2875,2303,2468
"FBgn0038136",0,0,0,0
"FBgn0011725",3479,4348,4044,4162
"FBti0019454",0,0,0,0
"FBgn0267196",0,0,0,0
"FBgn0286031",1,0,3,0
"FBgn0266410",1966,2989,2720,2312
"FBgn0264504",0,0,0,0
"FBgn0013995",265,383,1008,481
"FBgn0266579",1874,2528,3718,2793
"FBgn0037351",98262,94667,78186,74867
"FBgn0038790",0,0,0,0
"FBgn0086361",1968,2637,3571,3510
"FBgn0037734",900,1128,1303,1147
"FBgn0038956",66,67,59,60
"FBgn0082986",4,2,8,6
"FBti0019471",1,0,0,0
"FBgn0037551",952,1108,1611,1539
"FBti0062147",0,0,0,0
"FBgn0011970",0,0,0,0
"FBgn0266397",2,1,1,1
"FBgn0266758",553,607,2466,1280
"FBgn0039487",1108,1236,1924,1608
"FBti0019443",0,0,0,0
"FBgn0038163",7,0,0,0
"FBgn0039654",2896,3137,2366,2499
"FBti0062823",0,0,0,0
"FBgn0265196",3,10,2,11
"FBgn0003513",65,97,45,108
"FBgn0263236",987,1406,2259,1129
"FBgn0037852",844,950,846,888
"FBgn0263488",7,14,12,16
"FBgn0036451",2567,3903,3456,3396
"FBti0062641",0,0,0,0
"FBti0020188",0,1,0,0
"FBgn0036597",1,0,2,0
"FBgn0035687",38,34,128,46
"FBti0061285",31,37,31,19
"FBgn0035921",274,303,761,533
"FBgn0036211",1668,2030,3140,2455
"FBgn0036090",437,511,569,542
"FBgn0052357",0,0,0,0
"FBgn0003378",1,3,9,0
"FBti0020084",0,0,0,0
"FBgn0036882",0,0,0,0
"FBti0062640",0,0,0,0
"FBgn0037120",1551,2155,1928,2057
"FBgn0267636",0,0,0,0
"FBgn0053489",1,0,0,0
"FBgn0262896",0,0,1,0
"FBgn0085294",0,0,0,1
"FBgn0267581",0,0,0,0
"FBtr0304432_df_nrg",0,0,0,0
"FBti0059672",0,0,0,0
"FBgn0042199",0,0,0,0
"FBgn0024179",1067,1601,1081,1172
"FBti0063913",0,0,0,0
"FBgn0086078",3,9,3,8
"FBgn0035510",12,8,9,23
"FBti0063660",11,9,8,9
"FBgn0036935",590,818,1920,1177
"FBgn0266929",4,9,6,1
"FBgn0037151",80,118,147,168
"FBti0063161",0,0,0,0
"FBgn0036242",0,0,0,1
"FBti0061826",0,0,0,0
"FBti0060432",0,0,0,0
"FBgn0058298",0,0,0,1
"FBgn0052160",0,0,0,2
"FBgn0035949",1,2,5,1
"FBgn0260469",2,1,0,0
"FBti0062517",0,0,0,0
"FBgn0025807",447,448,484,490
"FBgn0001108",2412,2915,2541,2521
"FBgn0263647",3,0,0,0
"FBgn0035642",17,15,14,8
"FBgn0265755",0,0,0,0
"FBgn0028663",1011,1125,1486,1318
"FBgn0052185",0,1,1,2
"FBti0063940",0,1,0,0
"RR41993_transposable_element",0,0,2,0
"FBgn0036207",471,586,503,576
"FBgn0052438",1150,1372,1803,1772
"FBgn0052189",2,0,0,0
"FBgn0046793",0,2,0,0
"FBgn0036428",212,245,597,390
"FBti0020224",1,2,1,0
"FBgn0263035",0,0,0,0
"FBgn0035142",2954,4728,5254,4101
"FBgn0262027",0,0,1,1
"FBti0063145",0,0,0,0
"FBti0061310",0,0,0,0
"FBgn0261631",0,0,0,0
"FBgn0262787",1,0,0,0
"FBgn0036004",3472,4859,4294,4296
"FBgn0036031",10,12,14,4
"FBgn0012010",0,0,0,1
"FBti0063965",0,0,0,0
"FBtr0304507_df_nrg",0,0,0,0
"FBgn0036255",334,310,255,255
"FBti0059954",0,0,0,0
"FBgn0266778",3,3,0,0
"FBgn0036266",131,184,177,202
"FBgn0035708",234,230,920,547
"FBgn0024806",5008,7058,5209,5469
"FBgn0036327",0,0,0,0
"FBgn0085482",7,16,6,13
"FBgn0260442",16423,21519,24946,20483
"FBgn0283503",3559,4305,3156,3107
"FBgn0035934",71,71,98,91
"FBgn0036170",0,0,0,0
"FBgn0035756",393,581,936,573
"FBgn0036990",858,820,1129,1016
"FBgn0262679",0,1,0,0
"FBgn0052330",0,0,0,0
"FBti0062676",0,0,0,0
"FBgn0036188",1009,1028,1380,1277
"FBgn0036677",213,1201,305,326
"FBgn0286033",0,0,0,0
"FBgn0086601",18,15,10,22
"FBti0062498",0,1,0,0
"FBgn0020300",37,50,31,58
"FBgn0052370",0,0,0,0
"FBgn0037082",490,521,639,641
"FBgn0053514",21,18,30,32
"FBgn0052452",672,753,958,809
"RR48390_transposable_element",2,5,0,6
"FBgn0053795",6,10,3,4
"FBti0060166",0,0,0,0
"FBti0062728",0,0,0,0
"FBti0063359",0,0,0,0
"FBgn0035279",0,0,0,0
"FBgn0035139",2,4,5,4
"FBgn0265883",0,0,0,0
"FBgn0265718",2,0,0,0
"FBgn0036868",0,0,1,0
"FBgn0052274",0,0,0,0
"FBti0020167",0,0,0,0
"FBgn0004396",274,424,309,360
"FBgn0040817",55,56,63,78
"FBgn0027594",2359,3467,3175,2844
"FBgn0264566",0,0,0,0
"FBgn0004574",3770,4814,9930,6712
"FBgn0052224",0,0,0,0
"FBgn0036856",0,0,0,0
"FBti0060776",0,0,0,0
"FBgn0053278",6,0,1,1
"FBgn0042119",0,0,0,0
"FBti0020163",0,0,0,0
"FBti0020148",0,0,0,0
"FBgn0029113",10529,12307,10497,10468
"FBgn0002945",1599,2428,2207,2347
"FBti0060213",1,0,1,0
"FBgn0035287",1003,1151,1509,1168
"FBgn0035868",44,28,63,61
"FBti0063807",2,6,4,1
"FBgn0011723",4,3,6,2
"FBgn0036680",19,20,19,14
"FBti0020216",0,0,0,0
"FBgn0035398",131,208,349,325
"FBgn0004552",761,841,1119,1119
"FBgn0020412",1785,2533,2465,2716
"FBgn0036977",34,45,69,61
"FBgn0052240",0,1,1,0
"FBgn0003415",2646,4408,3953,3475
"FBgn0264698",3,1,0,1
"FBgn0036101",236,261,208,328
"FBti0059880",0,0,0,0
"FBti0061274",0,0,0,0
"FBgn0041194",22,27,11,28
"FBgn0036334",2113,2465,3685,3281
"FBti0063435",0,0,0,0
"FBti0061376",0,0,0,0
"FBgn0036040",22,32,33,28
"FBgn0023479",301,464,344,346
"FBgn0037070",12,7,12,6
"FBgn0036531",2,3,2,2
"FBgn0086254",3043,3365,4946,4124
"FBti0060771",0,0,0,0
"FBgn0085276",152,656,50,42
"FBgn0037094",4090,5031,3597,4185
"FBgn0053288",19,28,47,34
"FBgn0085491",0,0,9,13
"FBgn0036030",1481,1766,4213,3527
"FBgn0266777",564,566,966,979
"FBgn0036299",1339,1794,1946,1778
"FBgn0037101",1,1,0,0
"FBgn0035855",39,56,42,53
"FBgn0267304",0,0,0,2
"FBgn0035555",0,0,0,1
"FBgn0037199",1578,1834,1365,1344
"FBti0020113",0,0,0,0
"FBgn0028418",0,0,0,0
"FBgn0267480",0,0,0,0
"FBgn0036066",1,0,2,0
"FBti0061304",0,0,0,0
"FBgn0035257",3,4,1,2
"FBtr0304197_df_nrg",0,0,0,0
"FBgn0267303",0,0,2,1
"FBgn0265728",0,0,0,0
"FBgn0267627",0,1,0,0
"FBgn0053263",0,0,0,0
"FBgn0035144",4,21,4,7
"FBti0061558",0,0,0,0
"FBgn0035924",0,0,0,0
"FBgn0036850",349,422,468,504
"FBgn0262732",3152,4416,3906,4602
"FBtr0304175_df_nrg",0,0,0,0
"FBgn0036235",0,2,0,3
"FBgn0037117",951,990,931,878
"FBgn0266594",0,0,0,0
"FBti0060269",0,0,0,0
"FBgn0265268",4,4,2,3
"FBgn0263380",70,146,12,48
"FBti0020280",21,41,19,14
"FBgn0287187",669,640,927,828
"FBgn0036104",2834,3225,3053,2825
"FBgn0003997",198,292,264,315
"FBgn0267552",0,0,0,0
"FBgn0027587",1602,1965,1785,1925
"FBgn0003741",584,676,605,700
"FBgn0036956",13,5,6,3
"FBgn0001253",3226,5048,964,1642
"FBgn0036666",1830,2256,2602,2441
"FBti0060436",0,0,2,0
"FBtr0304291_df_nrg",0,0,0,0
"FBgn0263831",590,660,666,595
"FBgn0261445",1938,2085,1707,1873
"FBgn0052195",268,275,838,547
"FBti0020144",3,2,1,1
"FBgn0259199",0,0,0,0
"FBgn0026160",4217,6871,5909,5555
"FBgn0265455",0,0,0,0
"FBti0063191",0,0,0,0
"FBgn0022702",2733,3002,2867,2614
"FBti0060974",0,0,0,0
"FBgn0036485",680,945,907,838
"FBgn0263553",0,0,0,0
"FBgn0003515",11,43,6,10
"FBgn0035815",3,4,5,4
"FBgn0263379",62,71,81,100
"FBti0059845",0,0,0,0
"FBgn0011693",19,23,29,26
"FBgn0262417",0,0,0,0
"FBti0020185",1,2,33,4
"FBgn0267597",0,0,0,0
"FBti0063876",0,0,0,0
"FBti0060988",0,0,0,0
"FBgn0267245",0,0,0,0
"FBgn0036992",92,165,147,143
"FBgn0036446",804,1023,1264,1027
"FBti0060673",0,0,0,0
"FBti0020223",1,7,1,1
"FBgn0037102",687,795,989,891
"FBgn0260635",12203,13894,9591,10713
"FBgn0262189",0,0,0,0
"FBgn0011205",342,413,533,496
"FBgn0035533",2937,4110,3466,3831
"FBti0061367",0,0,0,0
"FBgn0001233",47343,70785,52914,55321
"FBgn0040321",456,548,198,333
"FBgn0003410",1798,2257,2355,2316
"FBgn0036689",116,152,246,214
"FBti0062157",0,0,0,0
"FBgn0035853",2405,2719,2345,2583
"FBgn0011509",812,917,1083,1041
"FBgn0035251",2164,2455,2426,2429
"FBtr0304469_df_nrg",0,0,0,0
"FBti0060944",0,2,0,0
"FBgn0035268",1776,2092,1991,1939
"FBgn0035505",423,670,1311,835
"FBgn0286739",0,0,0,0
"FBgn0283479",10,16,3,16
"FBgn0052112",327,402,500,411
"FBgn0083120",174,132,177,166
"FBti0020023",0,0,0,0
"FBgn0047205",14,18,10,23
"FBti0062567",0,0,0,0
"FBgn0265703",1,0,0,0
"FBti0064024",0,0,0,0
"FBgn0266653",4,4,5,1
"FBgn0036447",0,2,3,1
"FBgn0286730",0,0,0,0
"FBgn0036834",4,3,44,29
"FBgn0036621",1204,1597,1824,1710
"FBgn0010350",1315,1628,3027,1985
"FBgn0036842",1593,2007,1790,1918
"FBgn0035431",111,88,264,166
"FBgn0260776",0,0,0,0
"FBgn0036725",403,520,937,627
"FBgn0036263",1119,1222,980,1112
"FBgn0036601",0,26,0,0
"FBgn0267983",7,24,11,12
"FBgn0010830",910,1127,973,976
"FBgn0035455",4,0,0,0
"FBti0060701",0,0,0,0
"FBgn0002284",6024,6333,5382,5905
"FBgn0016034",60,77,102,111
"FBti0020219",0,0,0,0
"FBgn0035519",1202,1510,1327,1252
"FBgn0262401",0,0,0,0
"FBgn0036924",1,0,2,0
"FBgn0052407",320,267,77,139
"FBgn0035371",2341,2978,4048,3584
"FBgn0036810",0,1,0,2
"FBgn0035971",0,1,0,0
"FBti0060401",0,0,0,0
"FBti0061869",0,0,0,0
"FBti0059769",1,0,0,0
"FBgn0053710",0,0,1,1
"FBgn0036577",0,7,3,0
"FBgn0287591",0,0,0,0
"FBgn0265447",9,8,7,9
"FBgn0035587",10,35,20,13
"FBti0060292",0,0,0,0
"FBgn0052200",0,0,0,0
"FBgn0052412",262,308,277,198
"FBti0063344",0,0,0,0
"FBti0020027",0,0,0,0
"FBgn0037116",917,1100,1160,1053
"FBgn0035848",453,484,542,463
"FBti0020124",3,4,1,3
"FBgn0035421",1627,1893,1467,1681
"FBgn0005198",2020,2514,2364,2250
"FBgn0085481",0,8,5,16
"FBgn0266677",0,0,0,1
"FBti0059931",0,0,0,0
"FBgn0260481",27,30,33,31
"RR48380_transposable_element",0,0,0,0
"FBti0020236",0,0,0,0
"FBti0060470",0,0,0,0
"FBgn0036493",28,13,5,2
"FBgn0036742",162,238,564,249
"FBgn0036395",255,231,232,250
"FBgn0036439",1,0,0,0
"FBgn0004465",2622,2678,2190,2067
"FBgn0035295",645,836,796,920
"FBgn0264467",2,1,0,1
"FBgn0036556",1019,1289,1368,1396
"FBti0060807",0,0,0,0
"FBti0060823",0,0,0,0
"FBgn0036942",75,59,127,102
"FBgn0037188",346,459,400,427
"FBti0063911",0,0,0,0
"FBgn0036480",935,1112,1182,1294
"FBgn0085280",5,8,22,90
"FBgn0035308",428,601,262,497
"FBgn0037177",0,0,0,0
"FBgn0035539",741,1031,1526,1113
"FBgn0002564",2359,2719,1404,1342
"FBti0020130",0,0,0,0
"FBti0059848",0,0,0,0
"FBgn0267311",0,0,0,0
"FBgn0267714",0,0,0,0
"FBgn0036827",624,720,776,929
"FBti0060446",0,0,0,0
"FBgn0041100",106,91,97,97
"FBgn0063667",22,6,13,7
"FBgn0265913",1,5,4,2
"FBgn0263001",2,0,5,2
"FBgn0052288",0,0,0,0
"FBti0062674",1,2,0,0
"FBgn0264703",17,42,29,28
"FBgn0036038",1267,1573,1343,1341
"FBti0060385",2,1,1,0
"FBgn0267452",0,0,1,0
"FBti0063700",0,0,0,0
"FBgn0028567",11,4,3,0
"FBgn0035917",79,71,318,269
"RR48402_transposable_element",0,0,1,0
"FBgn0037143",0,0,0,1
"FBgn0267309",0,3,4,5
"FBgn0264554",8,10,18,11
"FBgn0261381",0,0,0,0
"FBgn0036617",290,2825,28,24
"FBgn0036337",865,1005,1334,1218
"FBgn0267456",0,0,0,0
"FBti0020061",0,0,0,0
"FBgn0052319",0,0,0,0
"FBgn0086072",0,0,0,0
"FBgn0036928",2170,2354,3040,2709
"FBgn0053647",0,0,1,0
"FBgn0035873",0,0,0,2
"FBgn0052418",612,594,672,661
"FBgn0036837",951,1191,2026,1841
"FBti0059930",0,0,0,0
"FBti0063875",2,0,4,1
"FBgn0036545",381,446,501,499
"FBgn0010387",769,695,1487,1108
"FBgn0035207",5838,7247,6068,5618
"FBti0062005",3,3,8,7
"FBgn0037124",1,2,2,4
"FBgn0035477",562,903,1125,787
"FBgn0266680",3,4,2,1
"FBgn0035805",400,460,659,591
"FBgn0262030",1,0,0,0
"FBgn0035429",2,7,3,7
"FBgn0000565",1142,1431,928,1324
"FBgn0015793",466,556,488,529
"FBtr0309724_df_nrg",0,0,0,0
"FBgn0035619",1,2,2,1
"FBgn0036442",1,0,0,0
"FBti0059924",1,4,2,2
"FBti0063903",0,0,0,0
"FBgn0004619",592,842,1293,768
"FBti0060437",0,0,0,0
"FBgn0052152",0,0,0,0
"FBgn0035331",152,175,288,200
"FBgn0036230",0,1,0,0
"FBgn0035674",412,428,493,431
"FBgn0267919",2,0,1,0
"FBgn0083068",269,295,196,261
"FBgn0035228",3520,3895,4778,4157
"FBti0020107",0,0,0,0
"FBgn0036816",679,1018,946,927
"FBgn0262842",0,0,0,0
"FBgn0083987",4,7,1,8
"FBgn0285958",0,0,0,0
"FBgn0036410",7,13,1,0
"FBgn0035763",1256,1686,1331,1241
"FBti0060732",2,0,0,0
"FBgn0262396",0,0,0,0
"FBgn0267483",3,8,4,8
"FBti0063915",0,0,0,0
"FBgn0260985",1872,2341,2618,2579
"FBti0062672",0,0,0,1
"FBti0020286",0,0,0,0
"FBgn0035409",92,78,111,123
"FBgn0267306",0,0,0,0
"FBgn0264514",0,3,0,0
"FBgn0004379",1991,2261,2354,2199
"FBgn0035356",163,168,154,144
"FBgn0052446",1277,1301,1325,1495
"FBgn0266689",0,1,0,0
"FBgn0265448",1,0,0,0
"FBgn0014037",1393,2178,2409,2255
"FBgn0267717",1,5,6,9
"RR48389_transposable_element",1,4,3,1
"FBgn0035878",2187,2623,2619,2414
"FBgn0035588",935,844,858,801
"FBgn0287592",30,25,10,15
"FBti0062689",0,0,0,0
"FBgn0027549",1838,2285,2238,2198
"FBgn0036046",2180,2130,5298,3556
"FBgn0267598",0,3,0,1
"FBgn0052220",552,403,1574,1204
"FBti0062031",0,0,0,0
"FBgn0265296",3646,6770,2359,2696
"FBgn0085295",0,0,3,0
"FBgn0263345",12,4,8,14
"FBgn0054039",253,223,243,265
"FBgn0267668",341,621,208,306
"FBgn0035867",350,535,586,433
"FBgn0052425",2124,2709,3215,2707
"FBti0020126",0,0,0,0
"FBgn0035110",1007,1211,1148,1205
"FBti0020265",0,0,0,0
"FBgn0036057",0,0,0,0
"FBgn0040843",5,36,64,63
"FBti0061961",0,1,0,0
"FBgn0036474",4,3,2,1
"FBgn0036594",2,47,9,3
"FBgn0027364",54,38,157,95
"FBgn0029094",1809,1937,2193,2230
"FBgn0035544",22,42,15,19
"FBgn0004426",0,0,0,0
"FBgn0265893",0,0,0,0
"FBti0020086",0,0,0,0
"FBgn0035875",1,1,0,0
"FBgn0036454",1078,1555,1983,1418
"FBgn0035260",984,1292,992,1033
"FBgn0266678",0,1,0,0
"FBgn0053290",2,0,2,4
"FBgn0037139",2,0,0,0
"FBti0063924",1,1,5,2
"FBgn0000100",110923,111497,86899,78875
"FBgn0035780",12,0,28,23
"FBgn0036443",0,0,0,0
"FBti0060167",0,0,0,0
"FBgn0001256",47,756,25,26
"FBgn0035267",1138,1571,2034,1587
"RR50423_transposable_element",0,0,0,0
"FBgn0035264",582,688,580,740
"FBgn0052374",1,0,0,0
"FBgn0037042",2,0,1,0
"FBgn0040699",0,1,0,1
"FBti0061223",0,0,0,0
"FBgn0011855",0,0,0,0
"FBgn0035124",2,11,4,4
"FBti0061550",0,0,0,0
"FBgn0004592",0,3,0,1
"FBgn0264488",2,0,2,1776
"FBti0061861",0,0,0,0
"FBgn0260857",370,398,418,379
"FBgn0024187",1823,2503,2158,2120
"FBgn0266990",0,1,0,0
"FBgn0036678",233,618,53,151
"FBgn0037012",47,56,117,101
"FBgn0037172",1,1,0,0
"FBgn0287594",0,0,0,0
"FBti0020015",2,3,0,1
"FBti0060611",0,0,0,0
"FBgn0262437",0,0,0,0
"FBgn0036290",2675,2904,2841,2927
"FBgn0036952",0,0,0,1433
"FBti0020206",0,1,0,0
"FBgn0053703",0,0,0,1
"FBgn0052324",0,0,0,0
"FBgn0011762",314,334,438,449
"FBgn0053160",3,4,4,0
"FBgn0036723",31,26,59,17
"FBgn0086070",0,0,0,1
"FBgn0035889",0,0,0,0
"FBti0059902",0,1,0,0
"FBti0059944",1,0,0,0
"FBgn0035483",331,323,309,277
"FBgn0036369",207,275,856,478
"FBgn0036575",5,4,5,7
"FBgn0029118",2254,2339,2014,2058
"FBgn0041160",150,197,158,219
"FBti0061979",0,0,0,0
"FBgn0037050",958,1199,1053,803
"FBgn0267477",0,1,1,0
"FBgn0265721",1,2,0,0
"FBgn0035203",2899,3051,2733,2485
"FBti0063955",8,8,7,11
"FBti0063680",0,0,0,0
"FBgn0036248",902,1153,1107,1146
"FBti0060733",0,0,2,0
"FBgn0024733",51903,49480,40070,39013
"FBgn0035590",725,798,541,635
"FBti0020035",0,0,0,0
"FBgn0001247",3138,3664,3641,3465
"FBgn0035425",1875,1960,2332,2179
"FBgn0262517",1943,2547,2193,2225
"FBgn0267626",0,2,0,0
"FBti0060715",0,0,0,0
"FBgn0036897",704,838,980,974
"FBgn0035523",3408,4421,4064,3396
"FBgn0263832",1957,2504,2603,2203
"FBti0060687",0,0,0,0
"FBgn0052251",479,655,926,991
"FBgn0053771",0,0,0,0
"FBti0061042",0,0,0,0
"FBgn0035102",1,0,5,0
"FBti0061391",0,0,0,0
"FBgn0085411",24,35,19,30
"FBgn0261636",5,5,12,4
"FBgn0035526",4788,6691,5499,5915
"FBgn0266963",2,10,3,10
"FBgn0036015",0,0,0,0
"FBgn0052087",11,8,3,8
"FBgn0037179",0,0,0,0
"FBgn0035872",12727,14714,12027,13385
"FBgn0036214",19,11,9,6
"FBgn0052150",21,34,4,11
"FBgn0035610",166,168,251,178
"FBgn0267471",1,2,1,0
"FBgn0022709",491,577,659,586
"FBti0059773",0,1,2,2
"FBti0060659",0,0,0,0
"FBgn0036839",2,1,2,2
"FBti0020069",0,0,0,0
"FBgn0035270",548,629,700,679
"FBgn0085292",0,0,0,0
"FBgn0011771",3214,4035,3161,2947
"FBti0020095",0,0,0,0
"FBgn0265894",0,0,0,0
"FBgn0037040",4,0,1,0
"FBgn0260721",0,0,0,0
"FBti0060226",0,0,0,0
"RR48317_transposable_element",0,0,0,0
"FBgn0267950",0,0,0,0
"FBgn0035504",599,846,1370,918
"FBgn0267546",0,0,0,0
"FBgn0286028",11,21,16,4
"FBti0020243",2,3,0,2
"FBgn0086073",0,0,1,0
"FBgn0035140",602,602,538,518
"FBgn0040805",135,111,373,210
"FBti0020192",5,3,2,0
"FBti0061502",0,0,0,0
"FBgn0036391",296,432,960,561
"FBgn0035955",7,1,0,3
"FBgn0267933",0,0,0,0
"FBgn0266975",0,0,0,0
"FBgn0053966",0,0,0,3
"FBgn0267537",0,0,0,0
"FBti0062667",0,0,0,0
"FBti0020270",0,1,0,2
"FBgn0028648",848,856,956,853
"FBti0059933",0,0,0,0
"FBgn0035529",362,349,517,516
"FBgn0052311",1569,2207,3489,2542
"FBgn0266593",0,0,0,0
"FBgn0036176",0,0,0,0
"FBti0020025",3,0,1,1
"FBgn0052075",444,592,698,730
"FBgn0036063",343,369,380,400
"FBgn0046296",125,162,89,111
"FBgn0035151",84,93,171,162
"FBgn0036070",3,6,1,1
"FBgn0035987",6659,6610,6536,6547
"FBti0062519",0,0,0,0
"FBgn0086611",0,0,0,0
"FBgn0013469",859,1426,965,1347
"FBgn0266989",0,1,2,0
"FBgn0267544",0,0,0,0
"FBgn0035779",0,0,0,0
"FBgn0053286",2,0,0,0
"FBti0061276",1,0,0,0
"FBti0059952",0,0,0,0
"FBgn0020644",5,1,6,567
"FBgn0052368",6,2,3,3
"FBtr0304443_df_nrg",0,0,0,0
"FBgn0036997",704,827,3519,2441
"FBgn0041171",3946,5493,3787,4471
"FBgn0265886",0,0,0,0
"FBgn0267602",0,0,0,0
"FBgn0036619",0,1,1,0
"FBti0063877",0,0,0,0
"FBgn0036528",0,0,0,0
"FBgn0025355",0,0,0,0
"FBgn0265752",0,0,0,0
"FBgn0015829",931,1056,965,962
"FBgn0266967",4,3,8,7
"FBti0061007",0,0,0,0
"FBgn0265724",0,1,1,3
"FBti0020166",0,0,0,0
"FBgn0036345",1,0,0,0
"FBgn0035625",191,375,9,78
"FBti0061064",0,0,0,0
"FBgn0259243",2831,3517,5371,4422
"FBgn0036510",1014,1173,1187,1349
"FBgn0001179",1278,1485,1504,1615
"FBgn0023076",4,3,6,6
"FBti0061450",0,0,0,0
"FBgn0053276",170,180,129,160
"FBgn0016036",2,5,1,14
